75,2,あね,姉,年上の女のきょうだい。,名詞
76,2,あの,彼の,遠いものをさすことば。,名詞
77,2,あふ,阿付,へつらい、したがうこと。,名詞
78,2,あほ,阿保,ばか。まぬけ。,名詞
79,2,アホ,ajo,スペイン語で、ニンニク。,名詞
80,2,あび,阿比,アビ科の水鳥。冬、日本に渡来。,名詞
81,2,あび,阿鼻,剣の山などがある、もっとも苦しい地獄。,名詞
82,2,あぶ,虻,アブ科の昆虫。ハエに似る。,名詞
83,2,あべ,阿部,日本で２３番目に多い苗字。,名詞
84,2,あべ,安部,日本で２５９番目に多い苗字。,名詞
85,2,アポ,appointment,アポイントメント。人と会う約束。,名詞
86,2,あま,亜麻,アマ科の一年草。茎から繊維をとる。,名詞
87,2,あま,海女,海にもぐって海産物をとる女性。,名詞
88,2,あま,海人・海士・蜑,魚介類や海藻をとる人。漁師。,名詞
89,2,あま,尼,仏門にはいった女性。,名詞
90,2,アマ,amateur,アマチュア。,名詞
91,2,あみ,醤蝦・糠蝦,エビに似た節足動物。塩辛などにする。,名詞
92,2,あみ,網,糸などを、ます目のように編んだもの。,名詞
93,2,あむ,編む,糸などを結び合わせて、ものを作る。,動詞
94,2,あめ,飴,ねばり気のある、甘い菓子。,名詞
95,2,あめ,雨,空からふってくる水滴。,名詞
96,2,あや,綾,ななめに交差する模様の織物。,名詞
97,2,あや,文・綾,もよう。色合い。,名詞
98,2,あゆ,阿諛,へつらうこと。,名詞
99,2,あゆ,鮎・香魚・年魚,アユ科の淡水魚。食用。,名詞
100,3,あら…,荒,荒れはてた。荒っぽい。,名詞
101,2,あら,あら,女性が驚いた時のことば。,動詞
102,2,あら,あら,スズキ科の海水魚。冬においしい。,動詞
103,2,あら,粗,魚をおろした後に残る部分。,名詞
104,2,あら,粗,欠点。,名詞
105,2,あり,蟻,アリ科の昆虫。地中などに巣を作る。,名詞
106,2,あり,有り・在り,ある。存在する。,動詞
107,2,ある,或る,はっきりさせずに物事をさすことば。,連体詞
108,2,ある,有る・在る,存在する。,動詞
109,2,アル,二,中国語で、数字の２。,名詞
110,2,あれ,あれ,驚いた時や、ふしぎに思った時のことば。,名詞
111,2,あれ,荒れ,荒れること。,名詞
112,2,あれ,彼,遠いものをさすことば。,名詞
113,2,アレ,allez,フェンシングで、はじめの合図。,名詞
114,2,あわ,阿波,徳島県の旧国名。,名詞
115,2,あわ,粟,イネ科の一年草。食用。五穀の一つ。,名詞
116,2,あわ,安房,千葉県南部の旧国名。,名詞
117,2,あわ,泡,空気をふくんだ液体の玉。,名詞
118,3,…あん,案,計画や提案などを数えることば。,名詞
119,2,あん,暗,くらい部分。,形容詞
120,2,あん,案,考え。アイデア。,名詞
121,2,あん,餡,アズキなどに砂糖を加え、ねったもの。,名詞
122,3,ああら,ああら,驚いた時や、感動した時のことば。,感動詞
123,3,あいか,哀歌,かなしい歌。エレジー。,名詞
124,3,あいき,愛機,愛用の飛行機など。,名詞
125,3,あいこ,愛顧,ひいき。ひきたて。,名詞
126,3,あいこ,相子,勝ち負けがつかないこと。,名詞
127,3,あいぎ,合い着・間着,上着と下着のあいだに着る服。,名詞
128,3,あいご,愛護,かわいがって大事にすること。,名詞
129,3,あいご,相碁,同じ実力どうしの碁の対局。,名詞
130,3,あいご,藍子,アイゴ科の海水魚。食用。毒をもつ。,名詞
131,3,あいし,哀史,かなしい歴史。,名詞
132,3,あいす,愛す,愛する。,動詞
133,3,アイス,ice,氷。氷菓子。,名詞
134,3,あいそ,愛想,人から好かれる表情や態度。,名詞
135,3,あいじ,愛児,かわいがっている子ども。,名詞
136,3,あいず,合図,ものごとを知らせる目印。,名詞
137,3,あいち,愛知,東海地方の県。,名詞
138,3,あいつ,彼奴,かれ。やつ。,名詞
139,3,あいて,相手,もう一方の人。,名詞
140,3,あいだ,間,ふたつのものの中間。,名詞
141,3,あいづ,会津,福島県西部の地域。,名詞
142,3,あいば,愛馬,かわいがっている馬。,名詞
143,3,あいぶ,愛撫,かわいがって、なでること。,名詞
144,3,あいぼ,愛慕,愛して、したうこと。,名詞
145,3,あいま,合間,物事のとぎれた間。,名詞
146,3,あいや,あいや,人を呼び止めるときの声。,名詞
147,3,あいろ,隘路,せまくて、険しい道。,名詞
148,3,あいわ,哀話,悲しい話。,名詞
149,3,アウト,out,ゴルフで、１〜９番のコース。,名詞
150,3,アウト,out,野球で、打者や走者が権利を失うこと。,名詞
151,3,アウト,out,だめ。失敗。,名詞
152,3,あうん,阿吽,吐く息と吸う息。,名詞
153,3,あえか,あえか,弱々しいさま。,動詞
154,3,あえぎ,喘ぎ,苦しそうに息をすること。,名詞
155,3,あえぐ,喘ぐ,苦しそうに息をする。,動詞
156,3,あえて,敢えて,わざわざ。無理に。,副詞
157,3,アエラ,aera,ラテン語で、時代。,名詞
158,3,あえる,会える・逢える,会うことができる。,動詞
159,3,あえる,和える,料理で、酢や味噌などとまぜ合わせる。,動詞
160,3,あえん,亜鉛,元素記号Ｚｎ、原子番号３０の元素。,名詞
161,3,あおい,葵,源氏物語の第９帖の巻名。,名詞
162,3,あおい,葵,アオイ科の多年草。ゼニアオイなど。,名詞
163,3,あおい,青い,青の色をしている。,形容詞
164,3,あおう,亜欧,アジアとヨーロッパ。,名詞
165,3,あおえ,青絵,青色の顔料で絵付けをした陶磁器。,名詞
166,3,あおき,青木,日本で４０番目に多い苗字。,名詞
167,3,あおき,青木,ミズキ科の常緑低木。山地に生える。,名詞
168,3,あおこ,青粉,アオノリの粉など、青く着色する粉。,名詞
169,3,あおぐ,仰ぐ,見上げる。尊敬する。,動詞
170,3,あおぐ,扇ぐ・煽ぐ,うちわなどで、風をおこす。,動詞
171,3,あおげ,青毛,馬の毛色で、つやがある黒色のもの。,名詞
172,3,あおさ,青さ,青い程度。,形容詞
173,3,あおさ,石蓴,アオサ科の海藻。食用。,名詞
174,3,あおし,青し,青い。,形容詞
175,3,あおじ,青地,青い下地。,名詞
176,3,あおじ,蒿雀・青鵐,ホオジロ科の鳥。美しい声で鳴く。,名詞
177,3,あおず,青酢,ゆでた青菜を、すりつぶして入れた酢。,名詞
178,3,あおた,青田,稲が育ち、青々としている田。,名詞
179,3,あおな,青菜,菜っ葉。,名詞
180,3,あおに,青煮,野菜の青い色を失わないように煮たもの。,名詞
181,3,あおば,青葉,横浜市や仙台市にある区。,名詞
182,3,あおば,青葉,青々とした葉。,名詞
183,3,あおび,青火,青白い火。鬼火。,名詞
184,3,あおみ,青み,青い程度。,名詞
185,3,あおむ,青む,青くなる。,名詞
186,3,あおり,障泥・泥障,馬の腹をおおう、泥よけのための馬具。,名詞
187,3,あおり,煽り,あおること。扇動。,名詞
188,3,あおる,煽る,風が物を動かす。,動詞
189,3,あおる,呷る,酒などを一気に飲む。,動詞
190,3,あかい,赤い,赤の色をしている。,形容詞
191,3,あかえ,赤絵,主に赤色の顔料で絵付けをした陶磁器。,名詞
192,3,あかき,赤き,赤いこと。,形容詞
193,3,あかぎ,赤木,皮をはいだ、丸木。,名詞
194,3,あかげ,赤毛,赤い髪の毛。,名詞
195,3,あかご,赤子・赤児,あかちゃん。,名詞
196,3,あかさ,赤さ,赤い程度。,形容詞
197,3,あかし,証し,証拠。,名詞
198,3,あかし,赤し,赤い。,形容詞
199,3,あかし,灯,あかり。ともしび。,名詞
200,3,あかし,明石,源氏物語の第１３帖の巻名。,名詞
201,3,あかし,明石,兵庫県の市。,名詞
202,3,あかす,飽かす,あきさせる。,動詞
203,3,あかす,明かす,打ちあける。,動詞
204,3,あかそ,赤麻・赤苧,イラクサ科の多年草。茎から繊維をとる。,名詞
205,3,あかざ,藜,アカザ科の一年草。食用。,名詞
206,3,あかじ,赤字,収入より支出のほうが多いこと。,名詞
207,3,あかじ,赤地,赤い下地。,名詞
208,3,あかず,赤酢,酒かすから作る、甘味が強い酒。,名詞
209,3,あかな,赤菜,カブの品種。食用。ヒノナ。,接頭辞
210,3,あかね,茜,アカトンボの別名。,名詞
211,3,あかね,茜,アカネ科のつる性多年草。山野に生える。,名詞
212,3,あかね,茜,黄色みのある赤色。あかね色。,名詞
213,3,あかみ,赤み,赤い程度。,名詞
214,3,あかみ,赤身,肉や魚の、赤い部分。,名詞
215,3,あかめ,赤目,赤く充血した目。,名詞
216,3,あかり,明かり,明るい光。,名詞
217,3,あかん,明かん,関西弁で、うまくいかないこと。,感動詞
218,3,あきく,安芸区,広島市にある区。,名詞
219,3,あきご,秋蚕,晩秋から秋にかけ、飼育されるカイコ。,名詞
220,3,あきし,安芸市,高知県の市。,名詞
221,3,あきす,空き巣,るすの家をねらうどろぼう。,名詞
222,3,あきた,秋田,秋田県の市。県庁所在地。,名詞
223,3,あきた,秋田,東北地方の県。,名詞
224,3,あきち,空き地,何もない土地。,名詞
225,3,あきつ,秋津・蜻蛉,トンボの古い呼び名。,名詞
226,3,あきば,アキバ,秋葉原。,名詞
227,3,あきま,空き間,使っていない部屋。,名詞
228,3,あきや,空き家・空き屋,だれも住んでいない家。,名詞
229,3,あきる,飽きる・厭きる,いやになる。,動詞
230,3,あきれ,呆れ,あきれること。,動詞
231,3,アクア,aqua,水。,名詞
232,3,あくい,悪意,悪いこころ。わるぎ。,名詞
233,3,あくい,悪衣,そまつな衣服。,接頭辞
234,3,あくか,悪貨,品質の悪いお金。,名詞
235,3,アクス,axe,木を切ったり、武器とし使う、おの。,名詞
236,3,アクセ,accessory,アクセサリー。,名詞
237,3,あくじ,悪事,悪いおこない。,名詞
238,3,あくた,芥,ごみ。ちり。,名詞
239,3,あくち,あくち,ひな鳥のくちばしの、黄色い付け根。,名詞
240,3,アクト,act,行為。,名詞
241,3,あくね,阿久根,鹿児島県の市。,名詞
242,3,あくば,悪罵,ひどい言い方で、ののしること。,名詞
243,3,あくび,欠・欠伸,眠いときにおこる呼吸運動。,名詞
244,3,あくま,悪魔,悪いばけもの。,名詞
245,3,あくむ,悪夢,不吉な夢。,名詞
246,3,アクラ,Accra,ガーナの首都。,名詞
247,3,あくる,明くる,次の。,連体詞
248,3,あくろ,悪路,歩きにくい道。,名詞
249,3,あけて,明けて,新年になって。,副詞
250,3,あけに,明け荷,相撲で、まわしなどを入れる箱。,名詞
251,3,あけび,木通・通草,アケビ科のつる性落葉低木。果実は食用。,名詞
252,3,あける,開ける,ひらく。,動詞
253,3,あける,空ける,からにする。,動詞
254,3,あける,明ける,朝になる。,動詞
255,3,あこう,亜綱,生物の分類で、綱と目のあいだの階級。,接頭辞
256,3,あこう,赤魚,カサゴ科の海水魚。食用。アコウダイ。,名詞
257,3,あこう,赤穂,兵庫県の市。,名詞
258,3,あこう,榕・雀榕,クワ科の常緑高木。海岸に生える。,名詞
259,3,あこぎ,阿漕,どん欲で、無常なさま。,名詞
260,3,アコギ,acoustic guitar,アコースティックギター。,名詞
261,3,あこめ,衵・袙,昔、公家などが着た衣服の一種。,名詞
262,3,あがき,足掻き,あがくこと。,名詞
263,3,あがく,足掻く,自由になろうと、やたらと手足を動かす。,動詞
264,3,あがた,県,古代、大和政権の地方組織。,名詞
265,3,あがの,阿賀野,新潟県の市。,名詞
266,3,あがり,上がり,競馬で、調教やレースの終盤。,名詞
267,3,あがり,上がり,すごろくの、ゴールとなるところ。,名詞
268,3,あがり,上がり,すし屋で、お茶。,名詞
269,3,あがり,上がり,上がること。,名詞
270,3,あがり,揚がり,料理で、揚がりぐあい。,名詞
271,3,あがる,挙がる,例などとして、示される。,動詞
272,3,あがる,上がる,高いところにいく。,動詞
273,3,あがる,揚がる,ふわっと高いところにいく。高まる。,動詞
274,3,あぎと,顎門・顎,あご。,名詞
275,3,あぐみ,倦み,いやになること。,動詞
276,3,あぐむ,倦む,いやになる。,動詞
277,3,あぐら,胡坐,足を前に組む座り方。,名詞
278,3,あげお,上尾,埼玉県の市。,名詞
279,3,あげく,挙げ句・揚げ句,いろいろなことがあった、その最後。,名詞
280,3,あげず,上げず,間をおかないで。,名詞
281,3,あげて,挙げて,のこらず。すべて。,動詞
282,3,あげど,挙げ戸,上げ下げして開閉する戸。,動詞
283,3,あげは,揚羽,アゲハチョウ。,名詞
284,3,あげる,挙げる,例などとして、示す。,動詞
285,3,あげる,上げる,上に移動させる。,動詞
286,3,あげる,揚げる,油に入れ、熱を加える。,動詞
287,3,アゴゴ,agogo,カウベルを２個つないだ、ラテンの楽器。,名詞
288,3,アゴラ,agora,古代ギリシャで、集会などを起こった広場。,名詞
289,3,あさい,浅い,底までの距離が短い。,形容詞
290,3,あさい,浅井,日本で２６３番目におおい苗字。,名詞
291,3,あさお,麻生,川崎市にある区。,名詞
292,3,あさか,朝霞,埼玉県の市。,名詞
293,3,あさぎ,浅黄,うすい黄色。,名詞
294,3,あさぎ,浅葱,緑色を帯びた、うすい藍色。,名詞
295,3,あさげ,朝餉,朝食。,名詞
296,3,あささ,浅さ,浅い程度。,形容詞
297,3,あさし,浅し,浅い。,形容詞
298,3,あさせ,浅瀬,川や海の浅いところ。,名詞
299,3,あさざ,あさざ,リンドウ科の水草。若葉は食用。,名詞
300,3,あさじ,浅茅,植物のチガヤの、丈が低いもの。,名詞
301,3,あさだ,あさだ,カバノキ科の落葉高木。山地に生える。,名詞
302,3,あさで,浅手,軽いきず。,名詞
303,3,あさね,朝寝,朝、遅い時間まで寝ていること。,名詞
304,3,あさの,浅野,日本で１５２番目に多い苗字。,名詞
305,3,あさひ,旭,横浜市や大阪市にある区。,名詞
306,3,あさひ,旭,千葉県の市。,名詞
307,3,あさひ,朝日・旭,朝にのぼる太陽。,名詞
308,3,あさば,浅場,川などの、浅い場所。,名詞
309,3,あさま,あさま,長野新幹線の名称。,感動詞
310,3,あさま,朝間,朝のあいだ。,名詞
311,3,あさみ,浅み,浅いところ。,形容詞
312,3,あさめ,浅め,浅いと思われるさま。,形容詞
313,3,あさゆ,朝湯,朝、風呂に入ること。,名詞
314,3,あさり,浅利・鯏,マルスダレガイ科の二枚貝。食用。,名詞
315,3,あさる,漁る,魚や貝をとる。,動詞
316,3,あしか,海驢・葦鹿,アシ科の海獣。北太平洋に生息。,名詞
317,3,あしき,悪しき,悪いこと。,形容詞
318,3,あしげ,葦毛,馬の毛色で、白に黒や茶がまじったもの。,名詞
319,3,あしげ,足蹴,足でけること。,名詞
320,3,あした,朝,あさ。夜があけてからの時間。,名詞
321,3,あした,明日,今日の次の日。,名詞
322,3,あして,足手,足と手。,名詞
323,3,あしだ,足駄,雨の日にはく、歯の高い下駄。,名詞
324,3,あしば,足場,足をかける場所。,名詞
325,3,あしび,馬酔木,ツツジ科の常緑低木。山地に生える。,名詞
326,3,あしべ,芦辺・葦辺,植物のアシが生える水辺。,名詞
327,3,あしや,芦屋,兵庫県の市。,名詞
328,3,あしゅ,亜種,生物の分類で、種の下の階級。,名詞
329,3,あしゆ,足湯・脚湯,足だけを湯に入れる、入浴の仕方。,名詞
330,3,あすか,飛鳥・明日香,奈良県の地名。史蹟が多い。,名詞
331,3,あすこ,彼処,あそこ。遠い場所をさすことば。,名詞
332,3,あせい,亜聖,聖人に告ぐ、すぐれた賢人。孟子など。,名詞
333,3,あせい,阿世,世間にこびへつらうこと。,名詞
334,3,アセス,assessment,アセスメント。評価。査定。,名詞
335,3,あせび,馬酔木,ツツジ科の常緑低木。山地に生える。,名詞
336,3,あせも,汗疹,汗によって皮ふにできる、ふきでもの。,名詞
337,3,あせり,焦り,あせること。,名詞
338,3,あせる,焦る,早くしようと、いらいらする。,動詞
339,3,あせる,褪せる,色がうすくなる。,動詞
340,3,あそこ,彼処,遠い場所をさすことば。,名詞
341,3,あそび,遊び,あそぶこと。,名詞
342,3,あそぶ,遊ぶ,楽しいことをする。,動詞
343,3,あざな,字,あだな。仲間内などで使う呼び名。,名詞
344,3,あざぶ,麻布,東京都港区の高級住宅街。,名詞
345,3,あざみ,薊,キク科の多年草。鋭いとげをもつ。,名詞
346,3,アジア,Asia,東半球の北部を占める大陸。,名詞
347,3,あじか,簣,土などを運ぶ、ざるに似た道具。,名詞
348,3,あじと,agitating point,隠れ家。,名詞
349,3,あじな,味な,気のきいた。しゃれた。,名詞
350,3,あじみ,味見,少し食べて、味を確かめること。,名詞
351,3,あじも,味藻,ヒルムシロ科の多年草。アマモ。,名詞
352,3,アジる,アジる,そそのかす。扇動する。,動詞
353,3,あじろ,綱代,木や竹を編んで作った、あみ。,名詞
354,3,あずき,小豆,マメ科の一年草。食用。あんの材料。,名詞
355,3,あずけ,預け,あずけること。,名詞
356,3,あずさ,梓,植物のヨグソミネバリなどの別名。,名詞
357,3,あずち,堋・安土,弓の的を置く、土を盛ったところ。,名詞
358,3,あずま,東,日本で１２５番目に多い苗字。ひがし。,名詞
359,3,あずま,東・吾妻・吾嬬,東の諸国。,名詞
360,3,あぜち,按察使・按察,奈良時代、地方の行政を観察した官職。,名詞
361,3,あぜな,畦菜,ゴマノハグサ科の一年草。畦に生える。,名詞
362,3,あぜん,唖然,あきれて、何も言えないさま。,形容動詞
363,3,あたい,価,ねだん。,名詞
364,3,あたい,私,わたし。あたし。,名詞
365,3,あたい,値,ねうち。,名詞
366,3,あたう,能う,することができる。可能である。,動詞
367,3,あたう,与う,あたえる。,名詞
368,3,あたえ,与え,与えること。,動詞
369,3,あたし,私,わたし。,名詞
370,3,あたま,頭,体の、首から上の部分。,名詞
371,3,あたみ,熱海,静岡県の市。,名詞
372,3,あたら,可惜,おしくも。,副詞
373,3,あたり,当たり,釣りで、えさに魚がふれること。,名詞
374,3,あたり,当たり,あたること。,名詞
375,3,あたり,当たり・アタリ,囲碁で、あと一手で相手に取られる石。,名詞
376,3,あたり,辺り,付近。近く。,名詞
377,3,あたる,当たる,命中する。,動詞
378,3,あたん,亜炭,炭化が進んでいない石炭。燃料に利用。,名詞
379,3,あちら,彼方,遠い場所をさすことば。,名詞
380,3,あつい,厚い,表と裏の、へだたりが大きい。,形容詞
381,3,あつい,暑い,気温が高い。,形容詞
382,3,あつい,篤い,病気が重い。,形容詞
383,3,あつい,熱い,温度が高い。,形容詞
384,3,あっか,悪化,悪くなること。,名詞
385,3,あっか,悪貨,品質の悪いお金。,名詞
386,3,あっき,悪鬼,たたりをする魔物。,名詞
387,3,あっけ,呆気,あきれて、ぼんやりすること。,名詞
388,3,あつぎ,厚着,服をたくさん重ねて着ること。,名詞
389,3,あつぎ,厚木,神奈川県の市。,名詞
390,3,あつげ,暑げ,暑そうな感じ。,形容詞
391,3,あつさ,厚さ,厚い程度。,形容詞
392,3,あつさ,暑さ,暑い程度。,形容詞
393,3,あつさ,熱さ,熱い程度。,形容詞
394,3,あっし,圧死,押しつぶされて、命を落とすこと。,名詞
395,3,あっし,私,わたし。あたし。,名詞
396,3,あつし,厚し,厚い。,形容詞
397,3,あつし,熱し・暑し,あつい。,形容詞
398,3,あっす,圧す,圧する。押さえつける。,動詞
399,3,あつじ,厚地,生地が厚いこと。,名詞
400,3,あつた,熱田,名古屋市にある区。,名詞
401,3,あっち,彼方,遠い場所をさすことば。,名詞
402,3,アット,at,場所や時間をさす前置詞。,名詞
403,3,あつで,厚手,布や紙などの厚いこと。,名詞
404,3,あつび,熱火,盛んに燃える、あつい火。,名詞
405,3,アップ,up,上がること。,名詞
406,3,あつみ,厚み,厚い感じ。,名詞
407,3,あつめ,厚め,厚いと思われるさま。,名詞
408,3,あつめ,暑め,暑いと思われるさま。,形容詞
409,3,あつめ,熱め,熱いと思われるさま。,形容詞
410,3,あつゆ,熱湯,熱めの風呂。,名詞
411,3,あてじ,当て字・宛て字,漢字の音を借りて、あてはめた字。,名詞
412,3,あてど,当て所,目的地。,名詞
413,3,あてな,宛て名,手紙などに書く、先方の名前。,名詞
414,3,アテナ,Athena,ギリシャ神話の女神。ゼウスの娘。,名詞
415,3,アテネ,Athenae,ギリシャの首都。,名詞
416,3,あてみ,当て身,柔道で、急所をつく禁止技。,名詞
417,3,あてる,宛てる,手紙などの届け先とする。,動詞
418,3,あてる,充てる,あることのために、それを使う。,動詞
419,3,あてる,当てる,命中させる。,動詞
420,3,あとう,能う,あたう。可能である。,動詞
421,3,あとち,跡地,建物を取り壊したあとの土地。,名詞
422,3,あとび,跡火・後火,婚礼で嫁を送り出した後、火をたくこと。,名詞
423,3,アトム,atom,原子。,名詞
424,3,あとめ,跡目,あとつぎ。後任。,名詞
425,3,あとり,花鶏,アトリ科の鳥。秋、日本に渡来。,名詞
426,3,アトレ,attelet,調理した肉や野菜に刺す、銀製のくし。,名詞
427,3,アトレ,attrait,フランス語で、魅力。,名詞
428,3,あだち,安達,日本で２８３番目に多い苗字。,名詞
429,3,あだち,足立,日本で２３４番目に多い苗字。,名詞
430,3,あだち,足立,東京２３区の一つ。,名詞
431,3,あだな,徒名・仇名,男女関係のうわさ。,名詞
432,3,あだな,渾名・綽名,仲間内などで使う呼び名。ニックネーム。,名詞
433,3,アダム,Adam,旧約聖書で、人類最初の男性。,名詞
434,3,あだん,あ段,五十音図で、あ･か･さ･た・な…の段。,感動詞
435,3,あだん,阿壇,タコノキ科の常緑低木。沖縄などに分布。,動詞
436,3,あなご,穴子,アナゴ科の海水魚。体が細長い。食用。,名詞
437,3,あなじ,乾風,冬に、北西から吹く風。あなぜ。,名詞
438,3,あなぜ,乾風,冬に、北西から吹く風。あなじ。,名詞
439,3,あなた,貴女,相手の女性をさすことば。,名詞
440,3,あなた,貴方,相手をさすことば。,名詞
441,3,あなた,彼方,遠い場所をさすことば。,名詞
442,3,あなば,穴場,あまり有名でない、いい場所。,名詞
443,3,あなや,あなや,とても驚いたときのことば。あら。,名詞
444,3,あなん,阿南,徳島県の市。,名詞
445,3,あにい,兄い,おにいさん。,名詞
446,3,あにき,兄貴,おにいさん。,名詞
447,3,アニス,anise,セリ科の一年草。種子は香辛料。,名詞
448,3,アニメ,animatinon,アニメーション。動画。,名詞
449,3,あねき,姉貴,おねえさん。,名詞
450,3,あねご,姉御・姐御,女の親分。,名詞
451,3,アノア,anoa,水牛の一種。セレベス島に生息。,名詞
452,3,あのこ,彼の娘,特定の女性などをさすことば。,名詞
453,3,あのよ,彼の世,死後の世界。,名詞
454,3,あはは,あはは,大きく口をあけて笑う声。,感動詞
455,3,あひる,家鴨・鶩,カモ科の水鳥。マガモを飼いならした鳥。,名詞
456,3,あふる,溢る,あふれる。いっぱいになり、こぼれる。,名詞
457,3,アフロ,Afro,ちりちりにした髪型。アフロヘア。,名詞
458,3,あほう,阿呆・阿房,馬鹿。まぬけ。,名詞
459,3,あほげ,アホ毛,頭の鉄片などに立つ、くせ毛。,感動詞
460,3,あほさ,阿呆さ,あほであること。,名詞
461,3,あばく,暴く,秘密などを明るみに出す。,動詞
462,3,あばた,痘痕,天然痘にかかったあと。,名詞
463,3,あばよ,あばよ,くだけた感じの、別れのあいさつ。,感動詞
464,3,あばら,荒ら,荒れて、すき間が多いさま。,名詞
465,3,あばら,肋,胸の部分を囲む骨。ろっ骨。,名詞
466,3,あばれ,暴れ,あばれること。,動詞
467,3,あびこ,我孫子,千葉県の市。,名詞
468,3,あびる,浴びる,液体を自分の体にかける。,動詞
469,3,あぶく,泡,空気をふくんだ液体の玉。あわ。,名詞
470,3,あぶみ,鐙,馬に乗るとき、足をかける馬具。,名詞
471,3,あぶら,脂,脂肪。,名詞
472,3,あぶら,油,水の溶けにくい、液体の物質。,名詞
473,3,あぶり,炙り・焙り,火であぶること。,名詞
474,3,あぶる,炙る・焙る,火にあてて、かるく焼く。,動詞
475,3,あぶれ,溢れ,あぶれること。,名詞
476,3,あべの,阿倍野,大阪市にある区。,名詞
477,3,アベル,Abel,旧約聖書で、アダムとイブの次男。,名詞
478,3,アピア,Apia,サモアの首都。,名詞
479,3,アピる,アピる,好きな人などに、アピールする。,名詞
480,3,アプリ,application,アプリケーション。ソフトウェアの一種。,名詞
481,3,アプレ,apres-guerre,アプレゲール。戦後派。,名詞
